trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
130,False,"{'a': 0.7, 'e': 0.02024191144580439}",20,4,24.79702717367325,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.7, 'e': 0.0196436725530653}",30,20,18.05815460763109,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.7, 'e': 0.019063114291611637}",25,2,38.81777597723977,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.7, 'e': 0.01849971411981925}",25,8,31.205501237106333,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.7, 'e': 0.017952964939502866}",25,10,15.079924137533753,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.7, 'e': 0.017422374639493515}",20,12,15.184685492531074,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.7, 'e': 0.01690746565270528}",30,8,-4.219369102416446,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
137,False,"{'a': 0.7, 'e': 0.01640777452629266}",30,17,27.116888976281906,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.7, 'e': 0.015922851504511698}",35,28,16.57627189234487,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.7, 'e': 0.015452260123909515}",20,8,22.898366670381733,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.7, 'e': 0.014995576820477703}",35,23,13.663667600808655,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
